날짜,항공사,출발시간,출발지,도착시간,도착지,소요시간,가격,최저가 결제수단
2024.03.16 Sat,에어서울,20:00,NRT,22:30,ICN, 02:30,"309,000원",KB국민
2024.03.16 Sat,진에어,19:10,NRT,22:00,ICN, 02:50,"312,100원",KB국민
2024.03.16 Sat,아시아나항공,19:20,NRT,22:10,ICN, 02:50,"314,900원",KB국민
2024.03.16 Sat,에어부산,18:30,NRT,21:00,ICN, 02:30,"328,600원",KB국민
2024.03.16 Sat,에어부산,11:10,NRT,13:50,ICN, 02:40,"328,600원",KB국민
2024.03.16 Sat,진에어,13:00,NRT,15:55,ICN, 02:55,"336,600원",KB국민
2024.03.16 Sat,진에어,11:00,NRT,14:00,ICN, 03:00,"336,600원",KB국민
2024.03.16 Sat,진에어,15:15,NRT,18:15,ICN, 03:00,"336,600원",KB국민
2024.03.16 Sat,대한항공,14:00,NRT,16:50,ICN, 02:50,"348,600원",KB국민
2024.03.16 Sat,제주항공,11:35,NRT,14:30,ICN, 02:55,"355,700원",KB국민
2024.03.16 Sat,티웨이항공,14:35,NRT,17:35,ICN, 03:00,"356,400원",KB국민
2024.03.16 Sat,아시아나항공,13:20,NRT,15:55,ICN, 02:35,"359,200원",KB국민
2024.03.16 Sat,아시아나항공,15:50,NRT,18:40,ICN, 02:50,"359,200원",KB국민
2024.03.16 Sat,대한항공,19:10,NRT,22:00,ICN, 02:50,"368,200원",KB국민
2024.03.16 Sat,제주항공,14:00,NRT,16:45,ICN, 02:45,"381,000원",삼성
2024.03.16 Sat,제주항공,19:50,NRT,22:50,ICN, 03:00,"381,000원",삼성
2024.03.16 Sat,아시아나항공,09:00,NRT,11:40,ICN, 02:40,"501,600원",KB국민
2024.03.16 Sat,대한항공,09:15,NRT,12:00,ICN, 02:45,"554,800원",KB국민
2024.03.16 Sat,일본항공,14:00,NRT,16:50,ICN, 02:50,"1,212,100원",KB국민
2024.03.16 Sat,일본항공,09:15,NRT,12:00,ICN, 02:45,"1,212,100원",KB국민
2024.03.16 Sat,일본항공,20:35,NRT,23:20,ICN, 02:45,"1,212,100원",KB국민
2024.03.16 Sat,일본항공,17:00,NRT,19:50,ICN, 02:50,"1,212,100원",KB국민
2024.03.16 Sat,ANA,15:50,NRT,18:40,ICN, 02:50,"1,255,100원",KB국민
2024.03.16 Sat,ANA,19:20,NRT,22:10,ICN, 02:50,"1,296,000원",KB국민
2024.03.16 Sat,ANA,09:00,NRT,11:40,ICN, 02:40,"1,296,000원",KB국민
2024.03.16 Sat,ANA,13:20,NRT,15:55,ICN, 02:35,"1,296,000원",KB국민
